stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
691,691,"51st Ave NE & 128th Pl NE",48.111331,-122.162163,0,
692,692,"51st Ave NE & 130th Pl NE",48.113817,-122.162227,0,
693,693,"51st Ave NE & 134th Pl NE",48.117704,-122.162352,0,
694,694,"51st Ave NE & 139th St NE",48.121289,-122.162489,0,
695,695,"51st Ave NE & 139th Pl NE",48.122850,-122.162543,0,
696,696,"51st Ave NE & 110th Pl NE",48.094054,-122.162202,0,
698,698,"51st Ave NE & 142nd Pl NE",48.124667,-122.162529,0,
699,699,"51st Ave NE & 146th St NE",48.128284,-122.162299,0,
701,701,"52nd Ave W & 152nd St SW",47.861149,-122.303467,0,
703,703,"52nd Ave W & 160th St SW",47.854169,-122.303480,0,
704,704,"52nd Ave W & 164th St SW",47.850685,-122.303484,0,
705,705,"52nd Ave W & 168th St SW",47.847305,-122.303478,0,
709,709,"52nd Ave W & 208th St SW",47.810458,-122.302997,0,
711,711,"52nd Ave W & 216th St SW",47.802769,-122.303036,0,
714,714,"52nd Ave W & 220th St SW",47.799593,-122.303029,0,
718,718,"56th Ave W & 224th St SW",47.795272,-122.308423,0,
719,719,"56th Ave W & 228th St SW",47.792269,-122.308381,0,
725,725,"56th Ave W & 222nd Pl SW",47.797739,-122.308401,0,
726,726,"56th Ave W & 235th St SW",47.785957,-122.308306,0,
739,739,"66th Ave W & 222nd St SW",47.797825,-122.321880,0,
740,740,"66th Ave W & 224th St SW",47.796081,-122.321884,0,
741,741,"66th Ave W & 228th St SW",47.792602,-122.321870,0,
742,742,"66th Ave W & 226th St SW",47.794582,-122.321886,0,
749,749,"67th Ave NE & 72nd St NE",48.060776,-122.140721,0,
755,755,"68th Ave W & 204th St SW",47.812690,-122.324718,0,
762,762,"72nd Ave NW & 261st St NW",48.233489,-122.330066,0,
766,766,"76th Ave W & 198th St SW",47.819553,-122.335765,0,
767,767,"76th Ave W & 204th St SW",47.814622,-122.335724,0,
768,768,"76th Ave W & 212th St SW",47.807526,-122.335630,0,
