shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
101:179,47.841980,-122.297130,140020,8316.99
101:179,47.841660,-122.297400,140021,8357.92
101:179,47.841440,-122.297600,140022,8386.60
101:179,47.841030,-122.297950,140023,8439.18
101:179,47.840680,-122.298250,140024,8484.11
101:179,47.840620,-122.298300,140025,8491.76
101:179,47.840490,-122.298420,140026,8508.77
101:179,47.840475,-122.298433,140027,8510.69
101:179,47.840350,-122.298540,150002,8526.75
101:179,47.840160,-122.298700,150003,8551.04
101:179,47.840010,-122.298830,150004,8570.31
101:179,47.839880,-122.298940,150005,8586.95
101:179,47.839840,-122.298980,150006,8592.31
101:179,47.839550,-122.299230,150007,8629.59
101:179,47.839170,-122.299560,150008,8678.54
101:179,47.838930,-122.299760,150009,8709.14
101:179,47.838820,-122.299860,150010,8723.47
101:179,47.838700,-122.299960,150011,8738.77
101:179,47.838580,-122.300060,150012,8754.07
101:179,47.838550,-122.300090,150013,8758.09
101:179,47.838470,-122.300160,150014,8768.43
101:179,47.838210,-122.300380,150015,8801.68
101:179,47.838115,-122.300464,150016,8813.93
101:179,47.838030,-122.300540,160002,8825.00
101:179,47.837810,-122.300730,160003,8853.25
101:179,47.837390,-122.301090,160004,8907.17
101:179,47.837340,-122.301140,160005,8913.88
101:179,47.836820,-122.301580,160006,8980.41
101:179,47.836760,-122.301630,160007,8988.06
101:179,47.836640,-122.301730,160008,9003.36
101:179,47.836560,-122.301800,160009,9013.70
101:179,47.836360,-122.301980,160010,9039.70
101:179,47.836200,-122.302120,160011,9060.33
101:179,47.835930,-122.302350,160012,9094.93
101:179,47.835860,-122.302410,160013,9103.89
101:179,47.835590,-122.302650,160014,9138.91
101:179,47.835380,-122.302830,160015,9165.85
101:179,47.835120,-122.303060,160016,9199.50
101:179,47.835040,-122.303130,160017,9209.84
101:179,47.834930,-122.303220,160018,9223.80
101:179,47.834914,-122.303234,160019,9225.84
101:179,47.834690,-122.303430,170002,9254.76
101:179,47.834630,-122.303480,170003,9262.41
101:179,47.834560,-122.303540,170004,9271.38
101:179,47.834470,-122.303620,170005,9283.05
101:179,47.834360,-122.303720,170006,9297.38
101:179,47.834180,-122.303880,170007,9320.69
101:179,47.833970,-122.304060,170008,9347.67
101:179,47.833840,-122.304170,170009,9364.31
101:179,47.833470,-122.304490,170010,9411.92
101:179,47.833230,-122.304700,170011,9442.89
101:179,47.833010,-122.304890,170012,9471.20
101:179,47.832780,-122.305090,170013,9500.83
101:179,47.832660,-122.305200,170014,9516.53
101:179,47.832470,-122.305360,170015,9540.79
101:179,47.832190,-122.305600,170016,9576.72
101:179,47.832090,-122.305690,170017,9589.71
101:179,47.831950,-122.305810,170018,9607.66
101:179,47.831870,-122.305880,170019,9617.99
101:179,47.831750,-122.305980,170020,9633.26
101:179,47.831610,-122.306100,170021,9651.25
101:179,47.831540,-122.306160,170022,9660.21
101:179,47.831120,-122.306520,170023,9714.13
101:179,47.830930,-122.306690,170024,9738.79
101:179,47.830630,-122.306950,170025,9777.40
101:179,47.830470,-122.307090,170026,9798.04
101:179,47.830270,-122.307260,170027,9823.64
101:179,47.830200,-122.307320,170028,9832.63
101:179,47.829860,-122.307620,170029,9876.62
101:179,47.829190,-122.308200,170030,9962.84
101:179,47.828970,-122.308390,170031,9991.13
101:179,47.828830,-122.308510,170032,10009.11
101:179,47.828350,-122.308920,170033,10070.65
101:179,47.827860,-122.309350,170034,10133.93
101:179,47.827750,-122.309440,170035,10147.89
101:179,47.827607,-122.309564,170036,10166.30
101:179,47.827520,-122.309640,180002,10177.52
101:179,47.827440,-122.309700,180003,10187.48
101:179,47.827280,-122.309840,180004,10208.12
101:179,47.827190,-122.309920,180005,10219.79
101:179,47.827010,-122.310070,180006,10242.74
101:179,47.826960,-122.310110,180007,10249.08
101:179,47.826860,-122.310200,180008,10262.07
101:179,47.826630,-122.310400,180009,10291.72
101:179,47.826550,-122.310470,180010,10302.06
101:179,47.826380,-122.310630,180011,10324.43
101:179,47.826300,-122.310700,180012,10334.76
101:179,47.826060,-122.310900,180013,10365.36
101:179,47.825890,-122.311050,180014,10387.34
101:179,47.825790,-122.311140,180015,10400.32
101:179,47.825590,-122.311310,180016,10425.96
101:179,47.825210,-122.311640,180017,10474.91
101:179,47.825020,-122.311800,180018,10499.17
101:179,47.824750,-122.312030,180019,10533.80
101:179,47.824741,-122.312038,180020,10535.02
101:179,47.824470,-122.312280,190002,10570.13
101:179,47.824410,-122.312330,190003,10577.78
101:179,47.824310,-122.312420,190004,10590.76
101:179,47.824150,-122.312560,190005,10611.40
101:179,47.824010,-122.312680,190006,10629.38
101:179,47.823960,-122.312720,190007,10635.69
101:179,47.823880,-122.312790,190008,10646.02
101:179,47.823800,-122.312860,190009,10656.36
101:179,47.823620,-122.313010,190010,10679.31
101:179,47.823530,-122.313090,190011,10690.95
101:179,47.823470,-122.313140,190012,10698.60
101:179,47.823360,-122.313240,190013,10712.93
101:179,47.823270,-122.313310,190014,10724.24
101:179,47.823080,-122.313470,190015,10748.53
101:179,47.822970,-122.313560,190016,10762.46
101:179,47.822780,-122.313720,190017,10786.75
101:179,47.822660,-122.313820,190018,10802.05
101:179,47.822570,-122.313900,190019,10813.69
101:179,47.822450,-122.314010,190020,10829.39
101:179,47.822320,-122.314120,190021,10846.03
101:179,47.822130,-122.314280,190022,10870.30
101:179,47.821890,-122.314490,190023,10901.26
101:179,47.821730,-122.314630,190024,10921.90
101:179,47.821550,-122.314790,190025,10945.25
101:179,47.821190,-122.315100,190026,10991.48
101:179,47.820850,-122.315400,190027,11035.47
101:179,47.820440,-122.315750,190028,11088.08
101:179,47.820422,-122.315765,190029,11090.33
101:179,47.820370,-122.315810,200002,11097.04
101:179,47.820160,-122.315990,200003,11124.01
101:179,47.819810,-122.316300,200004,11169.30
101:179,47.819700,-122.316390,200005,11183.26
101:179,47.819650,-122.316430,200006,11189.57
101:179,47.819520,-122.316540,200007,11206.22
101:179,47.819210,-122.316810,200008,11246.17
101:179,47.819070,-122.316930,200009,11264.13
101:179,47.818980,-122.317010,200010,11275.80
101:179,47.818750,-122.317210,200011,11305.43
101:179,47.818550,-122.317380,200012,11331.06
101:179,47.818480,-122.317440,200013,11340.02
101:179,47.818310,-122.317580,200014,11361.63
101:179,47.818080,-122.317790,200015,11391.66
101:179,47.817840,-122.318000,200016,11422.65
101:179,47.817570,-122.318230,200017,11457.25
101:179,47.817420,-122.318350,200018,11476.21
